id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5153186,Yoga Studio Included in this Stay!,6638596,John & Mary,District 1,36.221634926194625,-86.86605934578066,Private room,54,2,8,2015-07-06,2.05,1,352
215128,Solar cabin near    Nashville tn.,687401,Roman,District 1,36.34283515509436,-86.89731011642516,Entire home/apt,350,6,0,,,1,365
4508807,6 Bedroom Urban Oasis !,1554315,Stephanie,District 1,36.209574374556574,-86.83554654171903,Entire home/apt,510,3,2,2015-03-11,0.32,9,310
2480117,Roomy Teal Room,3155867,Koya,District 1,36.21754657608416,-86.84397105963757,Private room,45,2,47,2015-07-06,3.10,2,361
997187,Private room in Nashville,5479170,Jude,District 1,36.22100925619668,-86.87393529507774,Private room,150,1,4,2015-04-30,0.16,1,313
5795487,Luxurious Cozy Guesthouse Retreat,30066816,Jennifer,District 1,36.2740376611381,-86.91007695351229,Entire home/apt,125,3,6,2015-05-28,2.69,1,292
6745188,Farm Retreat with Pool,35317065,Chad,District 1,36.21531513515783,-86.87001995910289,Entire home/apt,290,3,0,,,1,362
5758483,Charming Farmhouse 15min to Dwntown,15341702,Chantelle,District 1,36.2180654888403,-86.87503363802325,Entire home/apt,108,2,0,,,2,354
3010518,2 Story Farmhouse 15 mins to city,15341702,Chantelle,District 1,36.20742624013712,-86.88061310471804,Entire home/apt,202,2,20,2015-05-17,1.46,2,352
3760692,Love Nashville? Paradise Ridge ,14171282,Susan And Fred,District 1,36.28627981671294,-86.89657705742579,Entire home/apt,85,1,27,2015-06-24,2.58,1,345
1074050,The Dream Big Room,3155867,Koya,District 1,36.217328466691484,-86.84545380606562,Private room,45,2,28,2015-06-28,1.53,2,348
5839022,Country home in Nashville,803190,Judy,District 1,36.28197519200436,-86.94884170028588,Entire home/apt,290,1,0,,,1,357
2906844,Beautiful Loft Apt East Nashville,6117864,Sara,District 6,36.17717844723675,-86.74109483810088,Entire home/apt,120,2,91,2015-07-02,6.66,2,307
5919610,Gorgeous cottage in East Nash!,3024412,Clare,District 6,36.189898712602485,-86.73912165705539,Entire home/apt,220,2,5,2015-05-26,2.14,1,322
2762501,Cute 1920s Victorian House,14128828,Helena,District 6,36.17421672462151,-86.74305448092508,Entire home/apt,150,2,1,2015-04-27,0.43,1,28
5613845,Brand New East Nashville Getaway,9760068,Jeffrey,District 6,36.18765427227425,-86.7341570811975,Entire home/apt,320,2,6,2015-06-28,2.17,2,362
3811909,Modern Cottage East Nashville,11543228,Jess,District 6,36.182351639023906,-86.72675559070686,Entire home/apt,120,2,36,2015-06-27,3.43,1,354
3275310,Nashville Hot Spot ,6233192,Michelle,District 6,36.17941575930143,-86.73079611600677,Entire home/apt,350,3,7,2015-05-18,0.66,2,312
3800796,"Modern, posh studio loft",2267873,Michael,District 6,36.185397464842985,-86.74459386462254,Entire home/apt,85,1,15,2015-06-23,1.57,2,290
6447118,Beautiful East Nashville Victorian,26218571,Jared,District 6,36.189403268806146,-86.74076677270165,Entire home/apt,352,1,0,,,1,33
6435325,East Nashville Carriage House,32956341,Shawn,District 6,36.17216509953817,-86.73811352012298,Entire home/apt,110,2,3,2015-06-29,3,1,332
4862580,Spacious Victorian - East Nashville,16680983,Jason,District 6,36.17028785541251,-86.75435512085161,Entire home/apt,350,2,11,2015-06-29,2.64,1,141
6424334,8 minutes from downtown Nashville,19031613,Susannah,District 6,36.18046671222072,-86.7129165695461,Private room,105,1,0,,,1,365
5913218,private room in E. Nashville ranch,4367008,Michaela,District 6,36.18700145334164,-86.71571054054306,Private room,50,1,4,2015-05-16,1.88,2,295
5401511,NEW! 2 bdrm House East Nashville,16506117,Kathryn,District 6,36.181055495298594,-86.74305834865451,Entire home/apt,130,2,3,2015-06-28,1.27,2,311
5926847,East Nashville Stadium Downtown,9339722,Stacia,District 6,36.17132630875406,-86.75321199277231,Entire home/apt,140,2,8,2015-06-23,5.00,1,316
6965489,Victorian style home East Nashville,25854852,Amy,District 6,36.189019996681786,-86.74502855893863,Entire home/apt,200,3,0,,,2,16
3808133,Harmony House- Cute Cozy PERMITTED,19569278,"Tim, Jill And Billy",District 6,36.167591504471474,-86.73986511063194,Entire home/apt,160,2,33,2015-06-21,3.22,3,322
5411115,Charming Tudor in East Nashville,20036880,Curtis,District 6,36.188873004699815,-86.72764426279831,Private room,50,1,22,2015-06-28,5.12,1,37
5957622,Victorian room in East Nashville,25854852,Amy,District 6,36.19094515910366,-86.74446855606472,Private room,75,1,9,2015-06-20,3.18,2,327
6060351,NEW! 1 bdrm house East Nashville,16506117,Kathryn,District 6,36.17985305311776,-86.74398443157234,Entire home/apt,120,2,12,2015-07-02,6.00,2,313
4891155,East Nashville Cottage,21519587,Stephanie,District 6,36.16386132931709,-86.75152430885743,Private room,125,1,0,,,1,186
6492678,Cottage In The City,9551442,Debra,District 6,36.175139884743274,-86.73787397082289,Entire home/apt,200,2,2,2015-06-15,2,3,31
2289868,Walk to 5 Points Restaurants/Bars! ,11696847,David And Cindy,District 6,36.17513176010188,-86.73803030663362,Private room,110,1,129,2015-06-28,8.18,1,342
4917247,Entire Cozy Cottage/5 Points/E Nash,18167773,Emily,District 6,36.177766435902576,-86.74038555883466,Entire home/apt,110,1,45,2015-07-02,7.67,1,250
5889813,Modern & Comfy in Hip Neighborhood,30587157,Keith,District 6,36.174610765647905,-86.75416795269535,Entire home/apt,150,2,3,2015-06-14,1.17,1,66
3344636,Tiny House In East Nashville,11006332,Ryan And Christen,District 6,36.16900698881527,-86.7375843530466,Entire home/apt,88,1,36,2015-04-15,2.98,3,185
3344930,Spacious Condo off Broadway!,16831211,Chris,District 6,36.16730034478106,-86.77432706998344,Entire home/apt,250,1,76,2015-06-26,6.02,2,303
3888083,Spacious Room w/half bath East Nash,13136766,Katie And Kat,District 6,36.18746076556734,-86.72514402690032,Private room,60,1,22,2015-06-14,2.26,2,323
3890033,Condo Near Downtown Nashville,16436708,Brian,District 6,36.17273860461674,-86.76559180111687,Entire home/apt,170,1,0,,,1,298
6414944,"Beautiful House, Fantastic Location",5879838,Your East Nashville Cottage Connection,District 6,36.17027691836858,-86.7564850301151,Entire home/apt,449,1,3,2015-06-22,3,3,351
4474214,Perfect 2br East Nashville Cottage ,15586733,Neal,District 6,36.186262532590185,-86.72628441917509,Entire home/apt,130,2,10,2015-06-17,1.60,6,63
1278810,East Nashville Log House,6958319,Lanier,District 6,36.18626415874103,-86.73251442767749,Entire home/apt,598,2,13,2015-04-08,0.57,1,333
5480793,Cozy Lockeland Springs Private Loft,28422447,Greg,District 6,36.17282720905257,-86.73810166729307,Entire home/apt,110,2,22,2015-07-01,5.79,1,355
4861360,Little Hollywood Gem East Nashville,25006117,Stephanie,District 6,36.178079299432014,-86.73524207122385,Entire home/apt,245,2,6,2015-05-25,1.29,1,358
6542516,Guest House in Historic 5 Points!,34210411,Kelly,District 6,36.17676631382189,-86.74727175200456,Entire home/apt,125,2,4,2015-06-27,4,1,330
4445765,New TinyHouse in hip East Nashville,3136613,Matthew & Harmoni,District 6,36.18099509311176,-86.74113076151895,Entire home/apt,95,2,30,2015-07-03,4.09,1,276
1300996,Entire Loft Apt @  5Points/Downtown,7073590,Brigitte,District 6,36.16959946402486,-86.72509801611021,Entire home/apt,119,1,95,2015-06-17,3.95,2,295
4491931,East Nashville Craftsman Home,23301240,Andy,District 6,36.17613927070361,-86.74305542593703,Entire home/apt,139,1,5,2015-07-05,3.95,1,282
2875854,Charming East Nashville Treehouse!,14700095,Elizabeth,District 6,36.185267482414915,-86.72707613019423,Entire home/apt,102,2,9,2015-06-29,0.63,1,47
1830458,60's Camper and Backyard Bathhouse,7040278,J.Wes,District 6,36.18004082097084,-86.74807392615061,Entire home/apt,110,1,221,2015-06-29,10.75,2,266
