room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
5615435,29107253.0,Private room,,MILAN,45,5.0,2.0,1.0,80.0,1.0,29.93079,-90.093616,2015-12-13 05:21:37.491135
6390817,33318374.0,Entire home/apt,,ST. ROCH,12,5.0,3.0,1.0,81.0,1.0,29.972443,-90.051988,2015-12-13 05:21:35.584686
1633843,4880969.0,Entire home/apt,,BYWATER,7,5.0,3.0,1.0,225.0,1.0,29.963253,-90.040797,2015-12-13 05:21:31.566612
406652,2026099.0,Entire home/apt,,ST. THOMAS AREA - LOWER GARDEN DISTRICT,100,5.0,,2.0,195.0,3.0,29.927302,-90.066746,2015-12-13 05:21:27.372891
696864,1199300.0,Entire home/apt,,VIEUX CARRE,98,4.5,2.0,1.0,220.0,3.0,29.952491,-90.065712,2015-12-13 05:21:17.015034
7472988,1985671.0,Entire home/apt,,BAYOU ST. JOHN,1,5.0,,2.0,180.0,2.0,29.974098,-90.08744,2015-12-13 05:21:13.600997
2250080,11491946.0,Entire home/apt,,MARLYVILLE - FONTAINBLEAU,12,5.0,4.0,1.0,125.0,2.0,29.953202,-90.109593,2015-12-13 05:21:10.106275
8653084,27238461.0,Private room,,ST. THOMAS AREA - LOWER GARDEN DISTRICT,10,5.0,5.0,1.0,90.0,1.0,29.933937,-90.067913,2015-12-13 05:21:07.783912
5240773,27122712.0,Entire home/apt,,ST. CLAUDE,1,3.0,,2.0,120.0,1.0,29.970029,-90.042602,2015-12-13 05:20:55.768662
2172205,11081885.0,Entire home/apt,,AUDUBON - UNIVERSITY,0,,,4.0,550.0,4.0,29.937018,-90.115316,2015-12-13 05:20:54.451698
5446332,24668830.0,Entire home/apt,,CENTRAL CITY - MAGNOLIA,40,4.5,,3.0,160.0,1.0,29.93148,-90.088821,2015-12-13 05:20:51.933246
4364542,11577974.0,Entire home/apt,,UPTOWN,1,5.0,3.0,0.0,119.0,2.0,29.933924,-90.104206,2015-12-13 05:20:47.752832
4966135,25600476.0,Entire home/apt,,UPTOWN,34,5.0,4.0,2.0,175.0,2.0,29.923463,-90.106435,2015-12-13 05:20:43.028931
6852911,20649919.0,Entire home/apt,,CENTRAL CITY - MAGNOLIA,1,5.0,5.0,1.0,150.0,2.0,29.931132,-90.085673,2015-12-13 05:20:36.688331
71624,367223.0,Entire home/apt,,ST. CLAUDE,151,5.0,4.0,1.0,130.0,2.0,29.966332,-90.036762,2015-12-13 05:20:30.578972
9237175,40607770.0,Private room,,BROADMOOR,0,,2.0,1.0,69.0,1.0,29.946817,-90.105227,2015-12-13 05:20:28.410481
8186118,25819000.0,Private room,,VIEUX CARRE,5,4.0,2.0,1.0,130.0,1.0,29.960672,-90.067086,2015-12-13 05:20:26.415975
1104631,6066874.0,Private room,,SIXTH WARD - TREME - LAFITTE,29,5.0,2.0,1.0,115.0,1.0,29.968262,-90.067201,2015-12-13 05:20:25.522549
5112558,24954333.0,Entire home/apt,,VIEUX CARRE,0,,4.0,1.0,150.0,1.0,29.952913,-90.066342,2015-12-13 05:20:22.375906
5846421,25549321.0,Private room,,SIXTH WARD - TREME - LAFITTE,4,5.0,2.0,1.0,80.0,1.0,29.969491,-90.073916,2015-12-13 05:20:20.874854
5442896,1185002.0,Entire home/apt,,CENTRAL CITY - MAGNOLIA,16,4.5,,3.0,400.0,1.0,29.934484,-90.081329,2015-12-13 05:20:14.658599
5075819,2177464.0,Entire home/apt,,VIEUX CARRE,19,5.0,,1.0,300.0,1.0,29.959549,-90.066634,2015-12-13 05:20:12.829894
7741523,40690090.0,Entire home/apt,,VIEUX CARRE,9,5.0,,2.0,250.0,1.0,29.957947,-90.069617,2015-12-13 05:20:10.945259
5395907,27971013.0,Entire home/apt,,CENTRAL BUSINESS DISTRICT,36,5.0,,2.0,295.0,3.0,29.952658,-90.067924,2015-12-13 05:19:56.945077
1016178,5592016.0,Entire home/apt,,ST. ROCH,19,5.0,2.0,1.0,125.0,4.0,29.970726,-90.053575,2015-12-13 05:19:51.615556
4296352,11267268.0,Private room,,ST. CLAUDE,26,4.5,2.0,1.0,59.0,1.0,29.967119,-90.032254,2015-12-13 05:19:49.300690
892623,2103275.0,Entire home/apt,,SEVENTH WARD,53,4.5,4.0,1.0,75.0,2.0,29.977645,-90.076504,2015-12-13 05:19:47.447108
5071098,1006728.0,Entire home/apt,,CENTRAL BUSINESS DISTRICT,17,5.0,4.0,1.0,209.0,1.0,29.947019,-90.066874,2015-12-13 05:19:45.474682
1116870,2110240.0,Entire home/apt,,WEST RIVERSIDE,25,5.0,,2.0,185.0,2.0,29.917506,-90.118674,2015-12-13 05:19:43.592351
2315660,11800706.0,Entire home/apt,,BROADMOOR,19,5.0,,3.0,335.0,2.0,29.941763,-90.103806,2015-12-13 05:19:41.067905
4933494,11769982.0,Entire home/apt,,VIEUX CARRE,18,4.5,4.0,2.0,250.0,2.0,29.959628,-90.065267,2015-12-13 05:19:37.313645
4931507,19934831.0,Private room,,SEVENTH WARD,1,5.0,2.0,1.0,190.0,1.0,29.971191,-90.063458,2015-12-13 05:19:34.430903
571235,2811163.0,Entire home/apt,,ST. ROCH,37,5.0,3.0,2.0,100.0,2.0,29.97189,-90.05091,2015-12-13 05:19:32.720564
5127058,26502921.0,Entire home/apt,,ST. THOMAS HOUSING DEV,1,5.0,3.0,1.0,144.0,1.0,29.922972,-90.070688,2015-12-13 05:19:25.830593
5943816,30775884.0,Entire home/apt,,BLACK PEARL,0,,5.0,2.0,140.0,14.0,29.931603,-90.132657,2015-12-13 05:19:24.385157
6359697,5140907.0,Private room,,SIXTH WARD - TREME - LAFITTE,35,5.0,2.0,1.0,95.0,1.0,29.965482,-90.070162,2015-12-13 05:19:22.026103
4417359,4962900.0,Entire home/apt,,CENTRAL BUSINESS DISTRICT,9,4.5,4.0,1.0,204.0,,29.95318,-90.071881,2015-12-13 05:19:14.372519
5352847,25865167.0,Private room,,FAIRGROUNDS - BROAD,1,5.0,2.0,1.0,90.0,2.0,29.990435,-90.084771,2015-12-13 05:19:11.840413
5612132,18356540.0,Entire home/apt,,SEVENTH WARD,2,4.5,,5.0,750.0,3.0,29.968379,-90.062597,2015-12-13 05:19:09.574332
