room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
16516468,1426,94678772,Shared room,,New Orleans,,SEVENTH WARD,18,5.0,2,1.0,,19.0,,2017-07-10 04:47:08.338518,29.972863,-90.063734,0101000020E61000002B69C537148456C00B7DB08C0DF93D40
447903,1426,102651,Shared room,,New Orleans,,LEONIDAS - WEST CARROLLTON,177,4.5,1,1.0,,15.0,,2017-07-10 04:47:08.335859,29.945897,-90.134623,0101000020E61000008692C9A99D8856C06F62484E26F23D40
16477221,1426,19743769,Shared room,,New Orleans,,ST. CLAUDE,20,4.5,1,1.0,,15.0,,2017-07-10 04:47:08.333782,29.978707,-90.046591,0101000020E61000006E52D158FB8256C0C45DBD8A8CFA3D40
18025695,1426,40154978,Shared room,,New Orleans,,SEVENTH WARD,19,4.5,1,1.0,,27.0,,2017-07-10 04:47:08.331659,29.970819,-90.060617,0101000020E610000039252026E18356C0DE550F9887F83D40
17466000,1426,81140932,Shared room,,New Orleans,,WEST RIVERSIDE,6,5.0,1,1.0,,29.0,,2017-07-10 04:47:08.328935,29.916453,-90.119417,0101000020E610000088653387A48756C03352EFA99CEA3D40
18469246,1426,92999059,Shared room,,New Orleans,,BROADMOOR,4,3.5,2,1.0,,19.0,,2017-07-10 04:47:08.326677,29.953115,-90.106231,0101000020E610000091B41B7DCC8656C0B9533A58FFF33D40
16740364,1426,94678772,Shared room,,New Orleans,,SEVENTH WARD,14,4.5,3,1.0,,19.0,,2017-07-10 04:47:08.321593,29.972111,-90.065342,0101000020E6100000894336902E8456C0F5143944DCF83D40
4242456,1426,16929348,Shared room,,New Orleans,,LEONIDAS - WEST CARROLLTON,84,5.0,1,1.0,,19.0,,2017-07-10 04:47:08.318834,29.952727,-90.130032,0101000020E6100000BEDBBC71528856C02504ABEAE5F33D40
16477299,1426,19743769,Shared room,,New Orleans,,ST. CLAUDE,20,4.5,1,1.0,,15.0,,2017-07-10 04:47:08.316648,29.978801,-90.045994,0101000020E6100000FB73D190F18256C0C74ACCB392FA3D40
949854,1426,102651,Shared room,,New Orleans,,LEONIDAS - WEST CARROLLTON,152,5.0,1,1.0,,15.0,,2017-07-10 04:47:08.314046,29.946355,-90.134426,0101000020E6100000DB6E826F9A8856C0F5673F5244F23D40
18026810,1426,40154978,Shared room,,New Orleans,,SEVENTH WARD,14,5.0,2,1.0,,27.0,,2017-07-10 04:47:08.311456,29.971258,-90.060301,0101000020E6100000A1BAB9F8DB8356C076FA415DA4F83D40
19458326,1426,92999059,Shared room,,New Orleans,,BROADMOOR,0,0.0,2,1.0,,15.0,,2017-07-10 04:47:08.308636,29.954096,-90.104184,0101000020E61000000E315EF3AA8656C0923EADA23FF43D40
16303137,1426,94678772,Shared room,,New Orleans,,SEVENTH WARD,39,5.0,4,1.0,,19.0,,2017-07-10 04:47:08.306368,29.97265,-90.063645,0101000020E610000073637AC2128456C054742497FFF83D40
16468783,1426,19743769,Shared room,,New Orleans,,ST. CLAUDE,23,4.5,1,1.0,,15.0,,2017-07-10 04:47:08.303978,29.978494,-90.046571,0101000020E61000004A7CEE04FB8256C00D5531957EFA3D40
18025263,1426,40154978,Shared room,,New Orleans,,SEVENTH WARD,5,5.0,1,1.0,,27.0,,2017-07-10 04:47:08.298189,29.971422,-90.061407,0101000020E6100000B62FA017EE8356C06B9DB81CAFF83D40
14015176,1426,33123465,Entire home/apt,,New Orleans,,MID-CITY,0,0.0,16,10.0,,155.0,,2017-07-10 04:41:30.266574,29.972217,-90.095882,0101000020E61000009B9141EE228656C0809D9B36E3F83D40
11715611,1426,62287493,Entire home/apt,,New Orleans,,UPTOWN,0,0.0,9,4.0,,863.0,,2017-07-10 04:41:00.810461,29.926421,-90.109233,0101000020E610000037A968ACFD8656C0DF5339ED29ED3D40
964640,1426,1624301,Entire home/apt,,New Orleans,,UPTOWN,6,5.0,7,3.0,,499.0,,2017-07-10 04:38:17.157637,29.92884,-90.106161,0101000020E610000015C78157CB8656C076374F75C8ED3D40
2100539,1426,1333641,Entire home/apt,,New Orleans,,CENTRAL CITY - MAGNOLIA,22,4.5,16,2.0,,105.0,,2017-07-10 04:36:10.873123,29.935545,-90.083747,0101000020E6100000D788601C5C8556C0B3EF8AE07FEF3D40
13313065,1426,4962900,Entire home/apt,,New Orleans,,CENTRAL BUSINESS DISTRICT,0,0.0,5,2.0,,115.0,,2017-07-10 04:36:10.864007,29.95011,-90.071,0101000020E6100000068195438B8456C0419AB1683AF33D40
2522166,1426,10621726,Entire home/apt,,New Orleans,,SEVENTH WARD,10,5.0,16,5.0,,800.0,,2017-07-10 04:35:20.925859,29.967005,-90.063226,0101000020E6100000719010E50B8456C08811C2A38DF73D40
