room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
5131525,940569,Entire home/apt,,Asheville,24,5.0,2,1.0,101.0,3.0,35.578678,-82.587509,2016-09-10 23:54:06.604792
7895827,29185580,Private room,,Asheville,39,5.0,2,1.0,60.0,1.0,35.576633,-82.592545,2016-09-10 23:53:58.011046
8274661,16698602,Private room,,Asheville,46,5.0,2,1.0,60.0,1.0,35.573372,-82.54537,2016-09-10 23:53:53.236808
10524188,28629826,Entire home/apt,,Asheville,5,5.0,4,1.0,195.0,2.0,35.595579,-82.553836,2016-09-10 23:53:50.529756
11686204,8164438,Entire home/apt,,Asheville,19,5.0,5,2.0,150.0,,35.602399,-82.557529,2016-09-10 23:53:46.463162
7001662,19159885,Private room,,Asheville,118,5.0,4,1.0,75.0,1.0,35.569374,-82.53219,2016-09-10 23:53:43.195553
11167742,58101581,Entire home/apt,,Asheville,25,5.0,5,2.0,195.0,2.0,35.589969,-82.563135,2016-09-10 23:53:24.265053
13093505,23092470,Entire home/apt,,Asheville,18,5.0,4,1.0,137.0,1.0,35.5917,-82.55409,2016-09-10 23:53:07.559102
13386987,1335315,Entire home/apt,,Asheville,19,4.5,2,1.0,65.0,1.0,35.550282,-82.533071,2016-09-10 23:52:44.629226
7872461,2697797,Entire home/apt,,Asheville,18,4.5,6,3.0,177.0,2.0,35.57214,-82.584516,2016-09-10 23:52:36.643966
3522532,4846203,Entire home/apt,,Asheville,95,4.5,3,0.0,80.0,2.0,35.580124,-82.607114,2016-09-10 23:52:29.224111
12337432,1786816,Private room,,Asheville,4,5.0,3,1.0,158.0,2.0,35.590759,-82.567901,2016-09-10 23:51:36.465256
4183263,21702976,Private room,,Asheville,146,5.0,2,1.0,65.0,,35.603631,-82.551718,2016-09-10 23:51:10.013666
273534,1178227,Entire home/apt,,Formerly ETJ,60,5.0,2,1.0,70.0,2.0,35.55294,-82.489951,2016-09-10 23:51:05.666820
3018908,14991088,Entire home/apt,,Asheville,42,5.0,4,2.0,215.0,2.0,35.580479,-82.578696,2016-09-10 23:50:53.300595
5114762,21362898,Private room,,Asheville,133,5.0,4,1.0,80.0,,35.580715,-82.595727,2016-09-10 23:50:51.078959
13512891,12553390,Private room,,Asheville,5,5.0,2,1.0,100.0,3.0,35.588094,-82.558633,2016-09-10 23:50:44.338399
731073,3803669,Entire home/apt,,Asheville,46,5.0,5,2.0,208.0,2.0,35.602531,-82.569038,2016-09-10 23:50:40.723191
8531465,8035294,Entire home/apt,,Asheville,37,4.5,2,0.0,95.0,3.0,35.602748,-82.559351,2016-09-10 23:50:37.258308
13731959,2600734,Entire home/apt,,Asheville,8,5.0,7,3.0,205.0,,35.586399,-82.574795,2016-09-10 23:50:35.288416
11842218,59243961,Private room,,Asheville,34,5.0,2,1.0,70.0,1.0,35.567262,-82.520482,2016-09-10 23:50:03.280062
12470763,43095235,Private room,,Asheville,5,5.0,3,1.0,97.0,2.0,35.576891,-82.581806,2016-09-10 23:49:53.908317
11452465,59792344,Private room,,Asheville,7,5.0,4,1.0,59.0,,35.582045,-82.500448,2016-09-10 23:49:10.033466
11773647,58867576,Entire home/apt,,Asheville,26,5.0,3,0.0,180.0,,35.608085,-82.550869,2016-09-10 23:48:47.846100
3867523,8625251,Entire home/apt,,Asheville,133,5.0,2,1.0,129.0,3.0,35.581548,-82.478735,2016-09-10 23:48:42.295411
3445948,3079174,Entire home/apt,,Asheville,45,4.5,4,2.0,250.0,2.0,35.605593,-82.550065,2016-09-10 23:48:28.927879
7543799,39527624,Entire home/apt,,Asheville,77,5.0,2,1.0,88.0,2.0,35.581416,-82.587834,2016-09-10 23:48:20.891024
8664712,45522770,Entire home/apt,,Asheville,31,5.0,2,1.0,250.0,2.0,35.59969,-82.559864,2016-09-10 23:47:49.542698
6317859,2208876,Private room,,Asheville,22,5.0,2,1.0,55.0,2.0,35.592433,-82.55458,2016-09-10 23:47:41.737520
6711659,35135871,Entire home/apt,,Asheville,58,4.5,4,2.0,125.0,,35.590334,-82.54559,2016-09-10 23:47:34.541873
554648,2669888,Entire home/apt,,Asheville,0,,4,2.0,150.0,2.0,35.586326,-82.537147,2016-09-10 23:47:23.241821
4764715,3441402,Entire home/apt,,Asheville,128,5.0,2,1.0,88.0,2.0,35.573386,-82.573401,2016-09-10 23:47:09.585157
912814,4898847,Private room,,Asheville,14,5.0,4,1.0,159.0,1.0,35.600552,-82.556094,2016-09-10 23:47:02.681265
9794899,50478143,Entire home/apt,,Asheville,6,5.0,4,1.0,200.0,3.0,35.595199,-82.553883,2016-09-10 23:46:54.707497
10366140,10216494,Private room,,Asheville,28,5.0,2,1.0,75.0,1.0,35.608573,-82.558395,2016-09-10 23:46:51.746290
9884274,7981022,Private room,,Asheville,37,5.0,1,1.0,37.0,2.0,35.57074,-82.571204,2016-09-10 23:46:49.220175
