room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
18091012,1381,122380971,Shared room,,Asheville,,Asheville,4,4.5,2,1.0,,45.0,,Comfy couch for a good nights sleep,2017-06-24 13:37:26.775588,35.572311,-82.542988,0101000020E6100000B587BD50C0A254C00E12A27C41C94140
12286328,1381,746673,Shared room,,Asheville,,Asheville,23,4.5,6,1.0,,26.0,,Mixed Dorm,2017-06-24 13:37:25.302810,35.579159,-82.596392,0101000020E610000025E659492BA654C08F17D2E121CA4140
12989718,1381,746673,Shared room,,Asheville,,Asheville,18,4.5,4,1.0,,26.0,,Female Dorm at BPS Hostel,2017-06-24 13:37:25.300103,35.578063,-82.596607,0101000020E6100000246420CF2EA654C08A03E8F7FDC94140
156926,1381,746673,Shared room,,Asheville,,Asheville,148,4.5,6,1.0,,26.0,,Mixed Dorm Bunk at BPS Hostel,2017-06-24 13:37:25.297058,35.577755,-82.594996,0101000020E61000000D501A6A14A654C0DD0C37E0F3C94140
16185806,1381,48579050,Shared room,,Asheville,,Asheville,13,4.5,2,1.0,,20.0,,Come Surf on our Couch,2017-06-24 13:37:25.293646,35.48385,-82.528027,0101000020E6100000EB19C231CBA154C0B515FBCBEEBD4140
6765734,1381,746673,Shared room,,Asheville,,Asheville,49,4.5,5,1.0,,26.0,,Female Dorm at Sharky's Hostel,2017-06-24 13:37:25.290745,35.57812,-82.594802,0101000020E61000001B66683C11A654C0EE940ED6FFC94140
16937969,1381,96187307,Entire home/apt,,Asheville,,Asheville,2,0.0,5,2.0,,375.0,,5-Star Luxurious Urban 2-Bdrm Loft in the Heart of Downtown Asheville,2017-06-24 13:34:03.898549,35.593499,-82.554166,0101000020E610000087A3AB7477A354C0B79A75C6F7CB4140
3302863,1381,7975333,Entire home/apt,,Asheville,,Asheville,92,5.0,4,2.0,,99.0,,Awesome Asheville Condo Flat,2017-06-24 13:32:43.527906,35.510612,-82.527666,0101000020E6100000834D9D47C5A154C0FB78E8BB5BC14140
943832,1381,5107042,Entire home/apt,,Asheville,,Formerly ETJ,66,4.5,6,3.0,,175.0,,Asheville Oak Cottage,2017-06-24 13:32:09.119017,35.611695,-82.576685,0101000020E610000000C63368E8A454C0381092054CCE4140
6711659,1381,35135871,Entire home/apt,,Asheville,,Asheville,95,4.5,4,2.0,,175.0,,HIP DOWNTOWN HIDEAWAY,2017-06-24 13:32:09.105236,35.590334,-82.54559,0101000020E610000094C151F2EAA254C0C2DB831090CB4140
16566932,1381,109123783,Entire home/apt,,Asheville,,Asheville,1,0.0,4,2.0,,135.0,,West Asheville Carriage House,2017-06-24 13:32:04.962889,35.580192,-82.60886,0101000020E6100000EDF5EE8FF7A654C04EB340BB43CA4140
11728697,1381,15708987,Entire home/apt,,Asheville,,Asheville,73,5.0,4,1.0,,124.0,,Cozy Cottage in the City,2017-06-24 13:32:03.391124,35.563473,-82.528904,0101000020E61000004FAE2990D9A154C0EA961DE21FC84140
13734324,1381,3655003,Entire home/apt,,Asheville,,Asheville,17,4.5,6,1.0,,110.0,,Comfy Rustic E.AVL House - 5 minutes to everything,2017-06-24 13:31:55.260642,35.563876,-82.506273,0101000020E61000004276DEC666A054C0E97FB9162DC84140
18040182,1381,39326139,Entire home/apt,,Asheville,,Asheville,10,5.0,4,1.0,,117.0,,NEW Contemporary Apartment (Asheville Mall),2017-06-24 13:31:53.617979,35.579458,-82.528949,0101000020E61000001F10E84CDAA154C0EAB303AE2BCA4140
11242744,1381,58634762,Entire home/apt,,Asheville,,Asheville,35,5.0,4,2.0,,119.0,,"Clean, Comfy, close to Asheville",2017-06-24 13:31:52.371771,35.549705,-82.661685,0101000020E61000003ED00A0C59AA54C04EB9C2BB5CC64140
1332684,1381,2799158,Entire home/apt,,Asheville,,Asheville,258,4.5,3,1.0,,83.0,,Sweet Studio - Walk West Asheville,2017-06-24 13:31:33.997536,35.5834,-82.591261,0101000020E61000009E996038D7A554C0423EE8D9ACCA4140
8513468,1381,30899500,Entire home/apt,,Asheville,,Asheville,145,5.0,4,2.0,,75.0,,Charming home near UNCA/Downtown,2017-06-24 13:31:32.267075,35.61802,-82.560143,0101000020E610000055850662D9A354C0102384471BCF4140
4226713,1381,21935451,Entire home/apt,,Asheville,,Asheville,47,5.0,10,5.0,,475.0,,Custom Craftsman-10 mins from town,2017-06-24 13:31:18.913949,35.617698,-82.505003,0101000020E610000071581AF851A054C0FD6662BA10CF4140
3694260,1381,2759944,Entire home/apt,,Asheville,,Asheville,1,0.0,5,2.0,,250.0,,Beautiful Arts and Crafts cottage ,2017-06-24 13:31:15.732853,35.604544,-82.568868,0101000020E61000006BEF535568A454C01B7FA2B261CD4140
