room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4603306,9589059,Entire home/apt,,Venice,102,4.5,6,,160.0,1.0,33.996535,-118.472454,2016-11-17 16:55:00.152533
13614704,14365675,Shared room,,Venice,10,4.0,3,,70.0,1.0,33.999462,-118.469695,2016-11-17 16:54:56.001960
7520882,7532798,Entire home/apt,,West Hollywood,2,,2,,109.0,3.0,34.087014,-118.379376,2016-11-17 16:54:54.822248
6259767,32522510,Entire home/apt,,Beverly Hills,12,4.5,5,,159.0,2.0,34.066015,-118.393022,2016-11-17 16:54:50.362722
13315938,20094703,Entire home/apt,,Burbank,2,,4,,125.0,2.0,34.181359,-118.302687,2016-11-17 16:54:47.670731
15581030,59346676,Entire home/apt,,Hollywood Hills,0,,4,,138.0,7.0,34.118671,-118.325754,2016-11-17 16:54:46.026878
14809222,2414479,Private room,,Venice,4,5.0,2,,75.0,3.0,34.002526,-118.465379,2016-11-17 16:54:45.404581
6835132,5548801,Private room,,Del Rey,122,5.0,2,,60.0,1.0,33.994186,-118.427302,2016-11-17 16:54:42.519795
14109798,30390231,Entire home/apt,,Beverly Hills,0,,8,,900.0,7.0,34.074374,-118.406812,2016-11-17 16:54:36.183333
8411934,34405493,Private room,,Hollywood,100,4.5,3,,66.0,1.0,34.101171,-118.346094,2016-11-17 16:54:32.728896
286771,1335671,Entire home/apt,,Echo Park,14,4.5,2,,70.0,5.0,34.079523,-118.26742,2016-11-17 16:54:32.095567
15624994,98696150,Entire home/apt,,Beverly Grove,1,,2,,80.0,,34.076387,-118.389089,2016-11-17 16:54:29.510282
15580538,46257139,Entire home/apt,,Pasadena,4,5.0,3,,175.0,1.0,34.156876,-118.171008,2016-11-17 16:54:28.651623
593991,2926347,Private room,,Del Rey,378,5.0,2,,85.0,1.0,33.982643,-118.420079,2016-11-17 16:54:27.272097
15431802,7115477,Entire home/apt,,Marina del Rey,1,,2,,144.0,3.0,33.980957,-118.45887,2016-11-17 16:54:25.478866
8163370,9462695,Entire home/apt,,Mar Vista,17,4.5,4,,138.0,3.0,34.000401,-118.425849,2016-11-17 16:54:22.837948
13168102,3201186,Private room,,Long Beach,19,4.5,3,,65.0,1.0,33.768673,-118.139572,2016-11-17 16:54:22.430871
15890483,12640402,Private room,,Downtown,0,,2,,100.0,2.0,34.049432,-118.257124,2016-11-17 16:54:19.992535
12892271,59759209,Private room,,Santa Monica,5,3.0,5,,115.0,1.0,34.019057,-118.493158,2016-11-17 16:54:16.240772
