room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
3167800,16067876,Private room,,12,0,,1,1.0,750.0,1.0,36.186691,-86.594194,2016-10-10 20:45:55.059190
6020187,8519151,Entire home/apt,,18,46,5.0,2,1.0,149.0,,36.132269,-86.812043,2016-10-10 20:45:40.550073
15359450,98035394,Private room,,15,1,,2,1.0,45.0,1.0,36.235585,-86.696498,2016-10-10 20:45:35.268940
6743814,35311228,Entire home/apt,,5,55,5.0,2,1.0,84.0,1.0,36.200355,-86.763822,2016-10-10 20:45:23.629307
7072267,36144864,Entire home/apt,,16,59,4.5,4,2.0,110.0,2.0,36.12009,-86.73652,2016-10-10 20:45:20.887529
12928705,2440772,Entire home/apt,,6,11,5.0,11,4.0,462.0,,36.166445,-86.75152,2016-10-10 20:45:17.930111
4943726,14638825,Entire home/apt,,8,90,5.0,4,1.0,70.0,2.0,36.258726,-86.732369,2016-10-10 20:45:04.852899
15229959,94083177,Private room,,6,1,,2,1.0,75.0,1.0,36.181281,-86.738858,2016-10-10 20:45:04.772429
10123852,27671128,Entire home/apt,,5,27,5.0,5,2.0,90.0,,36.18287,-86.766032,2016-10-10 20:45:01.113469
6227141,32298087,Entire home/apt,,7,41,5.0,2,1.0,110.0,2.0,36.204358,-86.698916,2016-10-10 20:44:58.051983
6853452,32094465,Entire home/apt,,29,18,5.0,7,4.0,200.0,1.0,36.092613,-86.640881,2016-10-10 20:44:52.895468
4116248,2860398,Private room,,8,23,4.5,2,1.0,60.0,1.0,36.227645,-86.726545,2016-10-10 20:44:40.328605
20847,79021,Private room,,7,102,4.5,3,1.0,70.0,,36.196489,-86.707617,2016-10-10 20:44:37.042434
4603992,23834026,Entire home/apt,,25,93,4.5,4,1.0,100.0,,36.110474,-86.811474,2016-10-10 20:44:18.324676
9413816,14097212,Entire home/apt,,23,12,5.0,4,2.0,175.0,1.0,36.136264,-86.880158,2016-10-10 20:44:07.865886
14315553,42979311,Entire home/apt,,7,8,5.0,4,1.0,99.0,2.0,36.194736,-86.70526,2016-10-10 20:35:21.775581
14915555,12898142,Private room,,15,0,,4,1.0,80.0,1.0,36.153461,-86.671731,2016-10-10 20:35:17.205436
12628321,19172754,Entire home/apt,,5,3,5.0,10,3.0,400.0,2.0,36.189307,-86.770987,2016-10-10 20:35:10.248772
9156218,47664645,Entire home/apt,,18,3,5.0,3,1.0,100.0,1.0,36.130287,-86.812685,2016-10-10 20:35:06.438009
8053452,33947452,Entire home/apt,,11,17,5.0,3,1.0,77.0,,36.212489,-86.58246,2016-10-10 20:34:59.170199
1584280,8440705,Entire home/apt,,6,171,5.0,2,1.0,86.0,2.0,36.176491,-86.742371,2016-10-10 20:34:53.269202
14490675,27048897,Entire home/apt,,24,13,5.0,2,1.0,99.0,2.0,36.122726,-86.84324,2016-10-10 20:34:46.318747
7733689,35522334,Private room,,17,21,5.0,4,1.0,125.0,2.0,36.138885,-86.790347,2016-10-10 20:34:44.042930
8722517,45780174,Private room,,6,11,4.5,2,1.0,60.0,1.0,36.181341,-86.747327,2016-10-10 20:34:31.235063
12252979,15578985,Private room,,7,0,,2,1.0,82.0,2.0,36.207367,-86.71806,2016-10-10 20:34:24.742133
3740203,16246720,Shared room,,19,91,5.0,4,1.0,35.0,,36.16406,-86.776862,2016-10-10 20:34:16.669633
11070379,26384439,Entire home/apt,,7,75,5.0,2,1.0,75.0,1.0,36.253278,-86.712153,2016-10-10 20:34:12.419274
2870944,11865937,Entire home/apt,,6,129,5.0,5,2.0,160.0,,36.177621,-86.741261,2016-10-10 20:34:07.811083
11822611,62975179,Entire home/apt,,6,1,,4,2.0,160.0,2.0,36.172097,-86.749624,2016-10-10 20:34:05.105336
9136726,47584605,Entire home/apt,,5,4,5.0,3,2.0,120.0,3.0,36.192457,-86.756111,2016-10-10 20:34:00.100460
4725290,2249719,Private room,,7,38,5.0,2,1.0,75.0,2.0,36.189705,-86.728552,2016-10-10 20:33:56.300406
6362763,33149458,Entire home/apt,,35,27,5.0,6,1.0,74.0,1.0,36.117212,-87.004743,2016-10-10 20:33:53.527121
14800272,91995688,Entire home/apt,,19,0,,6,2.0,699.0,,36.167154,-86.783796,2016-10-10 20:33:49.585024
14968508,5465441,Entire home/apt,,13,3,4.5,4,0.0,95.0,2.0,36.130689,-86.620594,2016-10-10 20:33:44.848310
11991052,64102342,Entire home/apt,,17,4,5.0,2,1.0,120.0,2.0,36.122825,-86.775821,2016-10-10 20:33:43.427192
7035105,36883237,Private room,,27,37,4.5,2,1.0,59.0,2.0,36.056424,-86.738127,2016-10-10 20:33:38.824182
14914663,93698336,Entire home/apt,,14,0,,2,0.0,120.0,2.0,36.206502,-86.630164,2016-10-10 20:33:37.950953
13334722,29624195,Entire home/apt,,19,12,5.0,4,1.0,150.0,1.0,36.172817,-86.78076,2016-10-10 20:33:36.073192
15237698,17362100,Private room,,26,1,,2,1.0,75.0,1.0,36.079213,-86.753198,2016-10-10 20:33:30.668568
8591039,45212096,Entire home/apt,,6,43,5.0,4,1.0,150.0,2.0,36.170389,-86.765279,2016-10-10 20:33:23.890962
10353731,6539199,Entire home/apt,,6,34,5.0,2,0.0,105.0,2.0,36.188029,-86.71791,2016-10-10 20:33:20.989576
5947139,30874017,Entire home/apt,,6,90,5.0,2,1.0,80.0,1.0,36.165475,-86.745923,2016-10-10 20:33:08.446588
6967507,4106034,Private room,,6,141,5.0,2,1.0,72.0,1.0,36.180329,-86.742514,2016-10-10 20:32:56.528993
14759033,91995688,Entire home/apt,,21,0,,5,1.0,449.0,,36.15627,-86.796926,2016-10-10 20:32:52.717953
5590547,26060758,Entire home/apt,,6,18,5.0,5,2.0,142.0,2.0,36.178472,-86.747109,2016-10-10 20:32:49.600292
15100236,61173728,Private room,,6,0,,2,1.0,80.0,1.0,36.168661,-86.765853,2016-10-10 20:32:43.517238
5771019,29939199,Private room,,7,61,5.0,2,1.0,89.0,1.0,36.199311,-86.725548,2016-10-10 20:32:19.922671
13020248,35998315,Entire home/apt,,6,4,5.0,3,1.0,140.0,1.0,36.175611,-86.749372,2016-10-10 20:32:10.853524
6091836,31595475,Private room,,17,95,5.0,2,1.0,75.0,1.0,36.139562,-86.766948,2016-10-10 20:32:09.020968
2931998,5151272,Entire home/apt,,6,41,5.0,4,2.0,195.0,3.0,36.17477,-86.739809,2016-10-10 20:32:04.938319
3717911,16246720,Shared room,,19,53,5.0,4,1.0,35.0,,36.164167,-86.776836,2016-10-10 20:31:57.651091
5450001,16805934,Entire home/apt,,16,1,,4,2.0,125.0,2.0,36.099313,-86.739378,2016-10-10 20:31:57.147012
12851060,61680877,,,2,20,5.0,2,,,,36.20918,-86.787378,2016-10-10 20:31:44.672474
9345837,26260488,Entire home/apt,,5,20,5.0,9,3.0,139.0,1.0,36.197507,-86.763605,2016-10-10 20:31:39.764730
14057925,34294548,Entire home/apt,,7,6,5.0,8,2.0,170.0,,36.201187,-86.725718,2016-10-10 20:31:35.415856
6415797,32163082,Entire home/apt,,6,3,5.0,9,4.0,375.0,3.0,36.172533,-86.75735,2016-10-10 20:31:31.470982
14150004,84753142,Private room,,27,5,5.0,2,1.0,59.0,1.0,36.054336,-86.703933,2016-10-10 20:31:31.150572
14522963,2012989,Entire home/apt,,18,2,,8,4.0,375.0,3.0,36.125097,-86.791169,2016-10-10 20:31:17.763351
10055039,51601929,Entire home/apt,,17,24,5.0,6,3.0,199.0,,36.138114,-86.78873,2016-10-10 20:31:14.936318
7302820,22379960,Entire home/apt,,7,0,,4,2.0,75.0,5.0,36.205217,-86.725592,2016-10-10 20:30:59.472766
13575385,34840601,Entire home/apt,,14,8,5.0,12,5.0,400.0,,36.157196,-86.636144,2016-10-10 20:30:55.141211
13697624,45274757,Private room,,5,0,,2,1.0,65.0,1.0,36.205593,-86.741592,2016-10-10 20:30:36.911992
11964658,6855810,Entire home/apt,,17,21,5.0,4,0.0,85.0,1.0,36.127261,-86.779257,2016-10-10 20:30:25.764782
8552371,31148752,Entire home/apt,,6,2,,12,4.0,649.0,2.0,36.186373,-86.74273,2016-10-10 20:30:23.302836
1557535,8291189,Entire home/apt,,7,22,5.0,12,4.0,729.0,3.0,36.22637,-86.709687,2016-10-10 20:30:07.720262
8086958,42705322,Entire home/apt,,5,41,5.0,3,1.0,65.0,1.0,36.193471,-86.744953,2016-10-10 20:29:51.253089
8290225,43710833,Entire home/apt,,7,33,5.0,4,1.0,99.0,2.0,36.204823,-86.72785,2016-10-10 20:29:47.849788
3490022,17574894,Entire home/apt,,17,11,5.0,10,4.0,685.0,,36.122379,-86.784226,2016-10-10 20:29:36.450452
13910469,82508315,Entire home/apt,,17,5,5.0,4,2.0,200.0,1.0,36.129332,-86.785953,2016-10-10 20:29:36.021054
14801890,48618586,Entire home/apt,,5,0,,8,3.0,287.0,,36.184892,-86.771206,2016-10-10 20:29:31.480970
8734429,22066344,Entire home/apt,,5,37,5.0,10,4.0,275.0,,36.200263,-86.742712,2016-10-10 20:29:15.422539
14134232,3003107,Private room,,5,2,,3,1.0,65.0,2.0,36.202504,-86.757183,2016-10-10 20:29:02.341578
10247567,52186253,Entire home/apt,,19,0,,10,1.0,600.0,3.0,36.163335,-86.776842,2016-10-10 20:28:54.882514
13317449,18321682,Private room,,5,0,,1,1.0,150.0,1.0,36.193756,-86.770556,2016-10-10 20:28:30.219473
14852812,25631341,Entire home/apt,,5,0,,4,1.0,85.0,1.0,36.189439,-86.747979,2016-10-10 20:28:20.029815
12912043,17145199,Entire home/apt,,19,19,4.5,5,1.0,90.0,,36.171196,-86.780327,2016-10-10 20:28:09.534817
6688975,30949285,Entire home/apt,,19,108,4.5,3,1.0,99.0,,36.15229,-86.794595,2016-10-10 20:28:01.612022
1300670,119023,Entire home/apt,,10,9,5.0,4,1.0,140.0,2.0,36.321143,-86.726437,2016-10-10 20:27:59.460613
7617795,38122066,Entire home/apt,,19,17,5.0,3,1.0,250.0,1.0,36.164559,-86.779723,2016-10-10 20:27:57.474328
5500808,2069988,Entire home/apt,,5,7,5.0,4,2.0,300.0,2.0,36.176546,-86.75737,2016-10-10 20:27:49.597604
9166061,47707725,Entire home/apt,,19,17,5.0,4,1.0,125.0,,36.175019,-86.780529,2016-10-10 20:27:48.000508
5339863,27671128,Entire home/apt,,5,101,5.0,5,2.0,79.0,,36.208515,-86.766163,2016-10-10 20:27:44.461975
4358798,16922948,Entire home/apt,,7,20,4.5,4,1.0,95.0,3.0,36.192405,-86.725289,2016-10-10 20:27:36.148039
4557628,6855810,Entire home/apt,,17,1,,12,0.0,80.0,,36.126439,-86.779172,2016-10-10 20:27:34.357245
15162921,85360355,Entire home/apt,,5,0,,12,4.0,147.0,1.0,36.191963,-86.760015,2016-10-10 20:27:27.949714
3021231,15395208,Entire home/apt,,17,21,5.0,9,4.0,225.0,3.0,36.121331,-86.782449,2016-10-10 20:27:23.707280
11387629,1445093,Entire home/apt,,5,26,5.0,4,1.0,124.0,,36.184706,-86.769036,2016-10-10 20:27:04.391762
6571977,34373335,Entire home/apt,,17,131,5.0,3,1.0,105.0,,36.118055,-86.790062,2016-10-10 20:27:01.844998
395889,1547584,Private room,,6,104,5.0,2,1.0,75.0,1.0,36.164718,-86.750101,2016-10-10 20:26:52.152430
10298319,52984486,Entire home/apt,,16,27,5.0,5,2.0,140.0,1.0,36.102988,-86.732772,2016-10-10 20:26:47.503054
5839005,19870589,Private room,,7,50,5.0,4,1.0,69.0,,36.211453,-86.719949,2016-10-10 20:26:47.181713
12384561,61651494,,,6,21,5.0,7,,,,36.172413,-86.746454,2016-10-10 20:26:44.155307
11719115,31870579,Entire home/apt,,15,9,4.5,8,2.0,199.0,2.0,36.219426,-86.705356,2016-10-10 20:26:43.968013
14238942,85484190,Entire home/apt,,3,0,,6,3.0,500.0,1.0,36.27707,-86.742039,2016-10-10 20:26:20.697896
14155457,84585903,Entire home/apt,,34,8,5.0,4,2.0,99.0,,36.067338,-86.771948,2016-10-10 20:26:12.342430
14218801,85360355,Entire home/apt,,6,7,4.5,8,2.0,123.0,1.0,36.184401,-86.74437,2016-10-10 20:26:03.880658
7688877,40380908,Entire home/apt,,24,87,5.0,2,1.0,95.0,2.0,36.139199,-86.825237,2016-10-10 20:25:57.094094
7439509,20827071,Private room,,19,121,5.0,2,1.0,100.0,1.0,36.171497,-86.791963,2016-10-10 20:25:52.092855
5991732,31109759,Entire home/apt,,33,8,4.5,8,4.0,200.0,2.0,36.068757,-86.612218,2016-10-10 20:25:40.595662
12005301,3768260,Private room,,18,0,,2,1.0,50.0,1.0,36.13573,-86.796247,2016-10-10 20:25:34.603665
12710555,8478836,Private room,,15,19,5.0,3,1.0,55.0,2.0,36.163837,-86.704648,2016-10-10 20:25:18.147053
8017261,5478418,Private room,,8,6,5.0,2,1.0,97.0,1.0,36.213742,-86.733995,2016-10-10 20:24:55.988165
8098262,1511167,Private room,,8,112,5.0,3,1.0,95.0,1.0,36.224647,-86.740179,2016-10-10 20:24:54.393534
4806588,17145199,Entire home/apt,,19,45,4.5,5,1.0,135.0,,36.170679,-86.778544,2016-10-10 20:24:45.513744
6410206,32216316,Private room,,6,58,5.0,2,1.0,79.0,2.0,36.178955,-86.741064,2016-10-10 20:24:28.697248
13530649,71112010,Entire home/apt,,6,2,,6,3.0,350.0,2.0,36.180778,-86.736983,2016-10-10 20:24:17.116933
11304096,55618658,Entire home/apt,,3,16,5.0,6,1.0,100.0,2.0,36.345971,-86.759482,2016-10-10 20:24:06.367883
14197603,26766131,Entire home/apt,,19,0,,6,2.0,549.0,,36.169158,-86.783927,2016-10-10 20:23:59.954958
11826982,44517648,Private room,,24,39,4.5,2,1.0,60.0,1.0,36.150986,-86.827668,2016-10-10 20:23:45.976068
722412,3629240,Private room,,12,51,5.0,2,1.0,55.0,1.0,36.158319,-86.570252,2016-10-10 20:23:45.778856
15147231,76573092,Entire home/apt,,5,3,5.0,6,2.0,110.0,2.0,36.189781,-86.767816,2016-10-10 20:23:25.089122
7699611,24619458,Entire home/apt,,6,43,5.0,10,4.0,600.0,3.0,36.170194,-86.75241,2016-10-10 20:23:20.751364
12268092,13523357,Entire home/apt,,2,12,5.0,6,3.0,150.0,2.0,36.210009,-86.7863,2016-10-10 20:23:15.909442
12136872,59734161,Entire home/apt,,33,12,5.0,10,3.0,155.0,,36.080994,-86.602511,2016-10-10 20:23:12.720347
13392339,72400756,Private room,,25,5,5.0,2,1.0,100.0,2.0,36.11227,-86.774033,2016-10-10 20:23:03.911350
13191239,60383585,Private room,,7,12,5.0,6,1.0,100.0,1.0,36.199606,-86.726138,2016-10-10 20:23:00.635066
11597189,61357852,Entire home/apt,,15,10,5.0,6,2.0,79.0,3.0,36.209275,-86.688447,2016-10-10 20:22:56.821544
371066,1869331,Private room,,6,169,5.0,4,1.0,89.0,2.0,36.184617,-86.737948,2016-10-10 20:22:47.588354
13576174,63948549,Entire home/apt,,15,12,5.0,5,3.0,89.0,2.0,36.155949,-86.698437,2016-10-10 20:22:47.241630
13729437,79942269,Private room,,8,5,5.0,4,1.0,95.0,1.0,36.2148,-86.731915,2016-10-10 20:22:37.709430
7694292,31148752,Entire home/apt,,17,4,5.0,10,3.0,549.0,2.0,36.129318,-86.783227,2016-10-10 20:22:23.368960
8445240,32354332,Entire home/apt,,7,13,5.0,6,3.0,125.0,1.0,36.205133,-86.726531,2016-10-10 20:22:15.907848
