room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
3717835,1271,16246720,Shared room,,Nashville,,19,62,5.0,4,1.0,,77.0,,2017-05-16 10:06:02.377098,36.164427,-86.775632,0101000020E6100000CA6E66F4A3B155C02ACAA5F10B154240
3642701,1271,16246720,Shared room,,Nashville,,19,87,5.0,4,1.0,,77.0,,2017-05-16 10:06:02.363007,36.165208,-86.776994,0101000020E61000000CCC0A45BAB155C0CF84268925154240
18224612,1271,120795993,Shared room,,Nashville,,15,0,0.0,4,1.0,,350.0,,2017-05-16 10:05:59.324716,36.220679,-86.705423,0101000020E610000028B682A625AD55C0FDF49F353F1C4240
6902607,1271,19262902,Shared room,,Nashville,,23,0,0.0,2,1.0,,250.0,,2017-05-16 10:05:57.874518,36.081842,-86.902308,0101000020E6100000D4BA0D6ABFB955C039B874CC790A4240
16437947,1271,33031557,Shared room,,Nashville,,19,16,5.0,7,1.0,,225.0,,2017-05-16 10:05:57.791041,36.171746,-86.792923,0101000020E6100000C24F1C40BFB255C0029CDEC5FB154240
16480452,1271,102761798,Shared room,,Nashville,,19,0,0.0,2,1.0,,175.0,,2017-05-16 10:05:54.948203,36.175888,-86.788352,0101000020E61000001E6FF25B74B255C022E17B7F83164240
7868621,1271,41469573,Shared room,,Nashville,,1,8,4.5,12,1.0,,139.0,,2017-05-16 10:05:54.216975,36.226613,-86.829775,0101000020E610000075029A081BB555C09AEC9FA7011D4240
15212205,1271,63298682,Shared room,,Nashville,,21,3,4.5,2,1.0,,117.0,,2017-05-16 10:05:52.716418,36.154332,-86.799512,0101000020E61000009C3061342BB355C0F65CA626C1134240
1951714,1271,7720839,Shared room,,Nashville,,19,5,5.0,2,1.0,,89.0,,2017-05-16 10:05:51.275749,36.147212,-86.787587,0101000020E61000004EF04DD367B255C015CAC2D7D7124240
14338778,1271,87617980,Shared room,,Nashville,,17,25,4.5,3,1.0,,85.0,,2017-05-16 10:05:51.272464,36.137337,-86.794628,0101000020E6100000191F662FDBB255C0F0C3414294114240
10123852,1271,27671128,Shared room,,Nashville,,5,81,5.0,5,1.0,,99.0,,2017-05-16 10:05:51.202581,36.18287,-86.766032,0101000020E610000020EC14AB06B155C0B3B5BE4868174240
9738865,1271,47028126,Shared room,,Nashville,,19,47,5.0,2,1.0,,64.0,,2017-05-16 10:05:49.669778,36.145308,-86.78973,0101000020E6100000E3AAB2EF8AB255C070ECD97399124240
4084205,1271,2373011,Shared room,,Nashville,,24,7,5.0,2,1.0,,59.0,,2017-05-16 10:05:48.680969,36.132366,-86.835021,0101000020E6100000499EEBFB70B555C0198D7C5EF1104240
4084356,1271,2373011,Shared room,,Nashville,,24,14,5.0,2,1.0,,59.0,,2017-05-16 10:05:48.678170,36.131418,-86.834648,0101000020E6100000FFEA71DF6AB555C0880D164ED2104240
4083973,1271,2373011,Shared room,,Nashville,,24,10,4.5,1,1.0,,59.0,,2017-05-16 10:05:48.674814,36.131143,-86.834973,0101000020E6100000C102983270B555C0B70C384BC9104240
2071080,1271,7720839,Shared room,,Nashville,,19,1,0.0,1,1.0,,60.0,,2017-05-16 10:05:48.659448,36.147168,-86.787539,0101000020E6100000C554FA0967B255C04582A966D6124240
18149170,1271,30343837,Shared room,,Nashville,,13,1,0.0,2,1.0,,44.0,,2017-05-16 10:05:48.657041,36.143405,-86.641954,0101000020E610000054E23AC615A955C09C8A54185B124240
16904835,1271,111836461,Shared room,,Nashville,,19,0,0.0,2,1.0,,60.0,,2017-05-16 10:05:48.654223,36.161677,-86.781739,0101000020E61000007FC0030308B255C0F8C1F9D4B1144240
18009631,1271,117785843,Shared room,,Nashville,,18,4,5.0,2,1.0,,60.0,,2017-05-16 10:05:48.651778,36.127908,-86.791405,0101000020E610000004392861A6B255C0C972124A5F104240
14463853,1271,89121626,Shared room,,Nashville,,8,31,5.0,2,1.0,,45.0,,2017-05-16 10:05:48.637273,36.226781,-86.741774,0101000020E61000007BC1A73979AF55C0562DE928071D4240
18341104,1271,126681529,Shared room,,Nashville,,19,5,5.0,1,1.0,,55.0,,2017-05-16 10:05:48.597537,36.168627,-86.784302,0101000020E6100000FE0B040132B255C07E1CCD9195154240
18378011,1271,71979712,Shared room,,Nashville,,15,0,0.0,1,1.0,,26.0,,2017-05-16 10:05:47.154119,36.170931,-86.697451,0101000020E610000000E48409A3AC55C0B16F2711E1154240
18271986,1271,71979712,Shared room,,Nashville,,15,0,0.0,1,1.0,,26.0,,2017-05-16 10:05:47.151172,36.172412,-86.698653,0101000020E6100000259012BBB6AC55C00FB8AE9811164240
18378163,1271,71979712,Shared room,,Nashville,,15,0,0.0,1,1.0,,26.0,,2017-05-16 10:05:47.137291,36.170759,-86.698696,0101000020E610000025766D6FB7AC55C0B33F506EDB154240
18584225,1271,47061664,Shared room,,Nashville,,12,0,0.0,4,1.0,,25.0,,2017-05-16 10:05:47.134903,36.154124,-86.59373,0101000020E6100000DC291DACFFA555C0ADC3D155BA134240
3740324,1271,16246720,Shared room,,Nashville,,19,71,5.0,4,1.0,,32.0,,2017-05-16 10:05:47.132708,36.164148,-86.776972,0101000020E6100000187AC4E8B9B155C016DA39CD02154240
